sequence_id,frame_id,candidate_count,full_prediction_id,full_gt_id,full_mask_depth,nearest_min_mask_depth,nearest_set_size,nearest_set_ids,full_visibility,nearest_set_max_visibility,full_confidence,nearest_set_max_confidence,full_center_score,nearest_set_max_center_score,delta_depth_mm,delta_visibility,delta_confidence,delta_center
407,1600938557349733,8,3,4074915,678.0,670.0,1,4,0.6273669642768449,0.5048585116261715,0.80543947,0.76737374,0.6228908220803232,0.3430596437414582,8.0,0.12250845265067345,0.03806573000000002,0.279831178338865
407,1600938557416394,8,4,4074915,687.0,663.0,1,5,0.5602340814956088,0.4821943275519286,0.76745099,0.71112555,0.6827656907770703,0.34181554452656837,24.0,0.07803975394368023,0.05632544000000006,0.3409501462505019
407,1600938557483056,9,3,4074915,688.0,668.0,1,6,0.5746373554640273,0.4803642807757683,0.83906978,0.64846289,0.7247897050629555,0.33955456530427897,20.0,0.09427307468825896,0.19060688999999997,0.3852351397586765
407,1600938557549717,10,4,4074915,687.0,664.0,1,7,0.5781999023473903,0.5203629198704104,0.81421727,0.67038494,0.7599434229820005,0.3317449314477446,23.0,0.05783698247697988,0.14383232999999995,0.4281984915342559
407,1600938557616378,10,3,4074915,683.0,668.0,1,8,0.5697815667209218,0.552811997084483,0.8538577,0.58625638,0.696310388775666,0.3261410575108055,15.0,0.016969569636438808,0.26760132000000003,0.37016933126486046
407,1600938557749700,11,6,4074915,691.0,680.0,1,12,0.6123957551130751,0.6127440908591818,0.83384794,0.34924072,0.5880541061135683,0.31269750050157374,11.0,-0.00034833574610670937,0.48460721999999995,0.2753566056119946
407,1600938557883021,11,7,4074915,687.0,676.0,1,11,0.6570613847520366,0.46312501009675755,0.82566714,0.31665787,0.5012254291333053,0.29923170922358966,11.0,0.19393637465527902,0.50900927,0.2019937199097156
407,1600938558083003,12,6,4074915,691.0,681.0,1,12,0.6943777130117748,0.4425725421750985,0.84299898,0.3487947,0.4035582740311339,0.27228922613901424,10.0,0.25180517083667625,0.49420427999999994,0.13126904789211968
407,1600938558149664,12,4,4074928,698.0,687.0,1,7,0.7840245574939042,0.6330987356861358,0.86132008,0.84432137,0.27260160361994157,0.3801309127670807,11.0,0.15092582180776837,0.016998710000000083,-0.10752930914713915
407,1600938558349646,12,7,4074915,687.0,685.5,1,10,0.6741934058167679,0.5642350448722182,0.76220655,0.47635037,0.3154250379965334,0.24756206319490462,1.5,0.1099583609445497,0.28585618,0.06786297480162876
407,1600938558416306,10,4,4074928,711.0,691.0,1,7,0.7859063516292859,0.7177850044327425,0.84579712,0.72901607,0.3343468931516599,0.29517583689636373,20.0,0.06812134719654339,0.11678104999999994,0.039171056255296155
407,1600938558482967,12,5,4074928,715.0,685.0,1,6,0.8134711366420048,0.6207631441648971,0.81440187,0.6786226,0.3582066901490892,0.2808033661504023,30.0,0.19270799247710768,0.13577927,0.07740332399868688
407,1600938558682949,11,5,4074935,686.0,676.0,1,7,0.6823000344372279,0.43097692634609563,0.8508634,0.82691711,0.19389683093821655,0.21147901842240116,10.0,0.25132310809113223,0.023946290000000037,-0.017582187484184608
407,1600938558749610,10,5,4074928,711.0,681.0,1,4,0.6903421905637684,0.5261313235720628,0.83059824,0.83423179,0.463025297441767,0.20953617619283396,30.0,0.16421086699170562,-0.0036335499999999854,0.2534891212489331
407,1600938558949592,9,4,4074928,717.0,694.0,1,8,0.6482100074053729,0.8018319825900851,0.86551797,0.51598597,0.5691228119258603,0.22582913963824588,23.0,-0.1536219751847122,0.34953199999999995,0.3432936722876144
408,1600938560549420,9,3,4083012,712.0,695.0,1,5,0.8426409633639613,0.5029521804137521,0.84015733,0.77507812,0.23615841075068286,0.1790665348465671,17.0,0.3396887829502092,0.06507921000000005,0.05709187590411577
408,1600938560616079,7,5,4083012,719.0,711.0,1,6,0.8064565959999208,0.5132396975917685,0.79948986,0.70032805,0.23221593814266162,0.18133968743884848,8.0,0.29321689840815235,0.09916181000000002,0.05087625070381313
408,1600938560682739,7,0,4083005,756.0,712.0,1,4,0.7591270251260481,0.48127828010234414,0.9229359,0.77722931,0.5272250481624561,0.18388488346576312,44.0,0.277848745023704,0.14570659000000008,0.34334016469669293
408,1600938560749397,7,0,4083005,757.0,704.0,1,5,0.766007743361789,0.5145603553764609,0.92889887,0.7366088,0.5501549090264628,0.18737207207172388,53.0,0.25144738798532806,0.1922900700000001,0.3627828369547389
408,1600938560816057,8,0,4083005,759.0,706.0,1,3,0.7575096281285348,0.4405610281598015,0.92126185,0.81022215,0.5720631492427944,0.18721825309076345,53.0,0.3169485999687333,0.11103970000000007,0.384844896152031
408,1600938560949375,8,0,4083005,759.0,704.0,1,8,0.7675243983839826,0.6503832171732651,0.92402697,0.38561186,0.5748727138810579,0.17629356854637257,55.0,0.11714118121071748,0.5384151100000001,0.3985791453346853
408,1600938561082694,7,3,4083022,723.0,711.0,1,6,0.7193253855636997,0.4077114427500816,0.83787507,0.70344144,0.1740857631303514,0.15223219649059602,12.0,0.31161394281361815,0.13443363000000008,0.02185356663975538
408,1600938561149352,6,0,4083005,762.0,684.0,1,6,0.7789357041248879,0.48637530193910866,0.92881215,0.66353267,0.5208893730919718,0.1530185473248757,78.0,0.2925604021857792,0.2652794799999999,0.3678708257670961
408,1600938561216011,6,0,4083005,764.0,671.0,1,6,0.7789118953303065,0.5823539367191721,0.91525614,0.63930094,0.4940762291653995,0.15393949629907933,93.0,0.19655795861113434,0.27595519999999996,0.3401367328663202
408,1600938561349329,6,0,4083005,765.0,671.5,1,5,0.7807995076204068,0.4800346542099597,0.91449112,0.77729356,0.44114956383463294,0.1555819797368161,93.5,0.3007648534104471,0.13719755999999994,0.28556758409781685
408,1600938561482648,6,0,4083005,762.0,665.0,1,5,0.7868709002792399,0.5100905593536574,0.90824902,0.68191981,0.39442472753199515,0.15749085415505626,97.0,0.27678034092558246,0.22632920999999995,0.23693387337693889
408,1600938561549306,6,0,4083005,768.0,735.0,1,4,0.7798503127212011,0.5311400887573857,0.93059421,0.82701021,0.37319328958375403,0.2018841736980414,33.0,0.24871022396381537,0.10358400000000001,0.17130911588571263
408,1600938561615965,6,0,4083005,763.0,714.0,1,4,0.7749404036710691,0.4933902024245229,0.91409659,0.83776325,0.35369520640334645,0.20064539857973265,49.0,0.2815502012465462,0.07633334000000003,0.1530498078236138
408,1600938561682626,6,2,4083013,749.0,742.0,1,4,0.794567621521195,0.47517464873896526,0.88552904,0.85506731,0.18255996579437467,0.1994927629291173,7.0,0.3193929727822297,0.030461729999999965,-0.016932797134742633
408,1600938561815947,7,2,4083013,750.0,694.0,1,7,0.7581231234670383,0.37353255344299485,0.89244378,0.323053,0.18097393126791209,0.1653628092195511,56.0,0.3845905700240434,0.56939078,0.015611122048360987
408,1600938561882608,7,3,4083013,748.0,693.0,1,10,0.7232930384662359,0.43990470810475923,0.87770587,0.45547298,0.1803435909458203,0.16591028507421926,55.0,0.2833883303614767,0.42223288999999997,0.014433305871601049
408,1600938561949268,6,0,4083005,761.0,735.0,1,5,0.7659953924331164,0.5618553652404952,0.92155397,0.82406855,0.2795235576747391,0.19260083720037555,26.0,0.20414002719262125,0.09748541999999993,0.08692272047436353
408,1600938562015928,7,2,4083013,754.0,744.0,1,5,0.7800931327188048,0.5663644539562925,0.88884115,0.82452542,0.17763710761697388,0.19038785545049816,10.0,0.21372867876251223,0.06431573000000002,-0.012750747833524284
408,1600938562082589,6,2,4083013,757.0,726.0,1,7,0.8124815796373412,0.6331206512143155,0.85624576,0.74062055,0.17725561081177338,0.18792643670433595,31.0,0.17936092842302576,0.11562520999999992,-0.010670825892562574
408,1600938562149250,6,2,4083013,758.0,739.0,1,4,0.7738463736368404,0.5999110797679039,0.86877334,0.82426518,0.17661898309279594,0.18631584271243998,19.0,0.17393529386893647,0.04450815999999991,-0.009696859619644033
408,1600938562215910,7,0,4083005,764.0,746.0,1,6,0.7661062272958672,0.6759217774284509,0.91898942,0.77594751,0.23978554041047218,0.18337959430244144,18.0,0.09018444986741625,0.14304191,0.056405946108030736
408,1600938562282571,6,0,4083005,767.0,735.0,1,8,0.8112352258652625,0.5948438255879124,0.91536629,0.74154466,0.23481340188646932,0.17989676005073366,32.0,0.21639140027735015,0.17382163000000006,0.05491664183573566
408,1600938562349232,7,0,4083005,767.0,744.0,1,5,0.8147440279064828,0.6760486059332289,0.87765056,0.80729896,0.2307091848266644,0.17840868288312292,23.0,0.1386954219732539,0.07035159999999996,0.052300501943541466
408,1600938562482553,6,3,4083005,768.0,761.0,1,1,0.7742759424658492,0.7553728379877995,0.83443987,0.85785419,0.22403223149187537,0.16710783099116575,7.0,0.01890310447804966,-0.02341431999999999,0.05692440050070963
408,1600938562549214,5,1,4083013,761.0,746.0,1,5,0.758384574179226,0.6871610408165396,0.87294328,0.75560492,0.16528515220728285,0.2211117148944711,15.0,0.07122353336268639,0.11733835999999997,-0.05582656268718825
408,1600938562682535,6,1,4083013,763.0,728.0,1,9,0.7370731092537973,0.5630129922102715,0.87202221,0.33970943,0.1610310663124936,0.16217799087864673,35.0,0.17406011704352586,0.53231278,-0.0011469245661531458
408,1600938563015838,8,3,4083034,804.0,764.0,1,8,0.773772983311652,0.7577344294570096,0.84739816,0.45917773,0.1474579035309341,0.15398608968336386,40.0,0.016038553854642368,0.38822043,-0.006528186152429755
