epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
57,5379.44,0.70837,0.38312,0.85179,0.81949,0.59478,0.64999,0.45574,1.16771,0.94157,1.09346,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,5473.53,0.70503,0.38126,0.85039,0.81549,0.59512,0.64439,0.45272,1.16713,0.95961,1.09104,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,5567.07,0.70022,0.37922,0.84899,0.81779,0.59229,0.64462,0.45179,1.17169,0.9543,1.09769,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,5660.52,0.70168,0.37876,0.84891,0.81311,0.5886,0.63559,0.44727,1.17063,0.98493,1.09621,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,5755.24,0.69656,0.377,0.8483,0.80617,0.60016,0.64215,0.45141,1.1683,0.96446,1.09529,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,5848.75,0.69532,0.37572,0.84799,0.80779,0.59509,0.63973,0.44875,1.17575,0.97343,1.09745,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,5941.95,0.69158,0.37446,0.84638,0.81036,0.59317,0.64075,0.45029,1.17052,0.96668,1.09421,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,6035.75,0.6892,0.37179,0.84556,0.81089,0.59219,0.63951,0.44977,1.16867,0.97262,1.09428,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,6128.36,0.68568,0.36919,0.8456,0.8052,0.59487,0.63725,0.4469,1.17761,0.97962,1.10068,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,6221.88,0.68552,0.3692,0.84478,0.81544,0.59007,0.6385,0.44759,1.1777,0.96992,1.10191,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,6314.73,0.6829,0.36773,0.84489,0.81582,0.58833,0.6358,0.44642,1.1789,0.9794,1.10192,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,6407.87,0.67838,0.36538,0.84412,0.80543,0.5936,0.63589,0.44638,1.18262,0.98084,1.10299,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,6501.25,0.67825,0.36558,0.84371,0.80745,0.58705,0.63448,0.44525,1.18769,0.98602,1.10971,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,6594.07,0.67513,0.36385,0.84225,0.80843,0.5909,0.63652,0.4466,1.18551,0.97917,1.10897,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,6687.23,0.67179,0.36172,0.84318,0.81127,0.58399,0.63373,0.44413,1.1848,0.99798,1.10664,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,6779.88,0.66932,0.35885,0.84256,0.81704,0.58418,0.63574,0.44503,1.18688,0.98859,1.10689,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,6872.64,0.66427,0.35735,0.8411,0.81557,0.5883,0.63873,0.44644,1.18818,0.98659,1.11067,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,6964.42,0.66343,0.35608,0.84022,0.80964,0.5929,0.63809,0.44601,1.19093,0.97836,1.11237,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,7056.95,0.66028,0.35454,0.84019,0.81085,0.59236,0.63775,0.44597,1.18921,0.98048,1.10998,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,7149.2,0.65863,0.35322,0.83971,0.81076,0.59239,0.63618,0.44402,1.19225,0.98377,1.11253,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,7241.7,0.65674,0.35158,0.83861,0.80953,0.59205,0.63542,0.44415,1.19103,0.9902,1.11317,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,7334.16,0.6544,0.35075,0.83952,0.8107,0.58965,0.63536,0.44335,1.19657,0.99398,1.11659,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,7425.93,0.64954,0.34792,0.83743,0.81073,0.58837,0.63382,0.44256,1.19567,0.99563,1.11673,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,7518.68,0.64658,0.34658,0.83656,0.81363,0.58542,0.63121,0.44155,1.19574,1.00092,1.11555,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,7611.5,0.65146,0.3493,0.8378,0.81037,0.58901,0.63221,0.44237,1.19425,0.99319,1.11599,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,7703.78,0.64812,0.34647,0.83577,0.8107,0.58934,0.63189,0.44222,1.19466,0.99558,1.1169,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,7796.39,0.64441,0.34481,0.83554,0.81318,0.58666,0.63034,0.4407,1.19699,0.99877,1.1186,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,7889.1,0.64169,0.34288,0.83572,0.8176,0.5843,0.63096,0.44141,1.19573,0.99849,1.11801,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,7981.97,0.63692,0.34147,0.83415,0.8176,0.57959,0.62759,0.4387,1.19795,1.01111,1.11862,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,8075.31,0.63306,0.33868,0.83344,0.81598,0.57911,0.62609,0.43739,1.19811,1.01335,1.12071,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,8167.92,0.6311,0.33707,0.83241,0.81243,0.5826,0.62681,0.43797,1.19741,1.01115,1.12082,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,8260.61,0.63098,0.33813,0.83325,0.81727,0.57973,0.62636,0.43746,1.20029,1.01512,1.12198,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,8352.59,0.62699,0.33569,0.83295,0.81989,0.57944,0.62498,0.43678,1.2007,1.01383,1.12274,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,8445.86,0.61986,0.33141,0.83079,0.81832,0.57902,0.62506,0.43708,1.19918,1.01601,1.12275,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,8541.19,0.58075,0.30759,0.82517,0.81814,0.5763,0.62215,0.43459,1.20445,1.02607,1.12544,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,8629.37,0.56551,0.2998,0.82033,0.81628,0.57357,0.61995,0.43226,1.20848,1.03539,1.12713,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,8717.68,0.5603,0.29703,0.82021,0.81754,0.57165,0.61769,0.43123,1.21025,1.03907,1.12842,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,8805.55,0.55459,0.29328,0.81932,0.81394,0.57252,0.61661,0.43004,1.21333,1.04365,1.13046,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,8893.26,0.54915,0.29046,0.8181,0.80812,0.57431,0.61553,0.4287,1.21649,1.0486,1.13229,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,8981.07,0.54743,0.28888,0.81621,0.80892,0.57266,0.61492,0.42767,1.21954,1.05095,1.13453,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,9069.32,0.54211,0.28649,0.81627,0.8117,0.57086,0.61367,0.42632,1.22205,1.05348,1.13587,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,9157.69,0.53832,0.28481,0.81458,0.81405,0.5695,0.61368,0.42626,1.22355,1.05358,1.13707,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,9245.91,0.53599,0.28343,0.81479,0.81008,0.56983,0.61045,0.42486,1.22574,1.05871,1.13836,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,9333.74,0.53199,0.28115,0.81336,0.80944,0.5691,0.60966,0.42429,1.22748,1.06072,1.13961,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
